"","x"
"636","IFI27"
"637","CITED2"
"638","CYTL1"
"639","P2RX5"
"640","GSAP"
"641","S100P"
"642","TPRG1"
"643","GNG7"
"644","TSEN54"
"645","FOSL2"
"646","TRAT1"
"647","CXCR5"
"648","SLAMF6"
"649","ARPC1B"
"650","LAX1"
"651","KLHL14"
"652","STAG3"
"653","CDC42EP3"
"654","KIAA1671"
"655","HERC5"
"656","TUBA1B"
"657","RRM2"
"658","EPB41L4A"
"659","SEL1L3"
"660","RAB30"
"661","RAC1"
"662","ZNF831"
"663","MACF1"
"664","TMEM40"
"665","HMOX1"
"666","TREML1"
"667","CALM2"
"668","STAP1"
"669","CPNE5"
"670","IFI6"
"671","FAM111B"
"672","STAT1"
"673","RECK"
"674","DLG5"
"675","DRAXIN"
"676","CTLA4"
"677","IFIT2"
"678","CLDN5"
"679","PEG10"
"680","ITGA6"
"681","BTG2"
"682","GLCCI1"
"683","CTSB"
"684","CADM1"
"685","SSX2IP"
"686","ANKRD36"
"687","ISG20"
"688","CD244"
"689","RAB31"
"690","CRIP1"
"691","ZBTB38"
"692","ZNF331"
"693","FHIT"
"694","KIF20B"
"695","RGS18"
"696","ZMAT4"
"697","LILRA5"
"698","ARPC5L"
"699","IL2RA"
"700","CMTM5"
"701","GABARAPL1"
"702","PITPNM2"
"703","ADAMTS10"
"704","OTUD7B"
"705","CD40"
"706","APBA2"
"707","BFSP1"
"708","GPR68"
"709","NAP1L1"
"710","ABI3"
"711","MGAM"
"712","MAP9"
"713","RHOH"
"714","RCAN3"
"715","ESAM"
"716","TTC22"
"717","EPHB6"
"718","CREM"
"719","LEPROTL1"
"720","TRABD2A"
"721","ACRBP"
"722","TRAF5"
"723","TRIM58"
"724","TNFSF14"
"725","ZFYVE28"
"726","MXRA7"
"727","CARD11"
"728","DLGAP1-AS1"
"729","ATP9A"
"730","APOBEC3H"
"731","GPRIN3"
"732","APOL6"
"733","PHACTR1"
"734","RAP1GAP2"
"735","ITGA4"
"736","VAV3"
"737","HERPUD1"
"738","GFI1"
"739","TNFRSF13B"
"740","CHD7"
"741","ENC1"
"742","MLLT6"
"743","ARVCF"
"744","CDCA7L"
"745","FYN"
"746","FAM169A"
"747","CRIP2"
"748","UTRN"
"749","RASD1"
"750","PAFAH2"
"751","BATF"
"752","CCDC152"
"753","ATG2A"
"754","GADD45A"
"755","SNTB2"
"756","VCL"
"757","RNF125"
"758","SIDT1"
"759","LRRC25"
"760","RIC3"
"761","DLG3"
"762","ERN1"
"763","RAB11FIP1"
"764","SYNGR1"
"765","SLC14A1"
"766","ZCCHC18"
"767","PTPRCAP"
"768","SOCS3"
"769","DHRS3"
"770","CMKLR1"
"771","PPP1R16B"
"772","GP1BA"
"773","PDE3B"
"774","CD5"
"775","ITPR3"
"776","FBXO32"
"777","ORAI2"
"778","ADAM8"
"779","CD84"
"780","BRI3"
"781","SAMHD1"
"782","SMKR1"
"783","ATP6V0B"
"784","PRELID1"
"785","MT1E"
"786","DOK2"
"787","TMEM140"
"788","IL6ST"
"789","PDCD1"
"790","LRRK2"
"791","CNR2"
"792","ANKRD28"
"793","F13A1"
"794","DMTN"
"795","CYB561A3"
"796","TLN1"
"797","STARD9"
"798","TGFBI"
"799","PROK2"
"800","SPINK2"
"801","SESN1"
"802","PARP8"
"803","VPS13A"
"804","HIP1R"
"805","CARNS1"
"806","KRT72"
"807","ENDOD1"
"808","RASSF1"
"809","DNAJC1"
"810","ALDH2"
"811","PLEKHA1"
"812","ARHGEF9"
"813","TBC1D31"
"814","ANKAR"
"815","PHLDA1"
"816","PTGS2"
"817","ATM"
"818","CCDC141"
"819","CD81"
"820","AP3M2"
"821","DGKD"
"822","HIPK2"
"823","MICAL3"
"824","PRKCQ"
"825","SATB1"
"826","LINC00944"
"827","PPM1K"
"828","AK9"
"829","CD44"
"830","CCND2"
"831","SLC38A11"
"832","FBXO2"
"833","IQGAP1"
"834","AIRE"
"835","PIF1"
"836","CDK6"
"837","FXYD2"
"838","GOLGB1"
"839","SLC25A42"
"840","CAPRIN2"
"841","PGM2L1"
"842","PDE5A"
"843","DENND2D"
"844","SLC9A3R1"
"845","LPAR5"
"846","VMO1"
"847","MMD"
"848","FAM177B"
"849","REL"
"850","TPD52"
"851","BTLA"
"852","DAAM1"
"853","SLC15A4"
"854","AK5"
"855","BACE2"
"856","RNF213"
"857","TRIB2"
"858","CTTN"
"859","GOLGA8B"
"860","TBKBP1"
"861","PRR5"
"862","HOXB4"
"863","MVD"
"864","ADAM19"
"865","MLLT3"
"866","ZMAT1"
"867","AXIN1"
"868","KRT86"
"869","GSN"
"870","SPTBN1"
"871","FSD1"
"872","SP140"
"873","RPAP2"
"874","CAST"
"875","PLXDC1"
"876","TNRC6C"
"877","LRBA"
"878","GCC2"
"879","SH3BGRL2"
"880","RNF19A"
