"","run","experiment","value","method","replicate","Beta_SSE","Beta_FPR","Beta_TPR","KL_divergence","hellinger_distance","error","best_case_Beta_SSE","best_case_KL_divergence","best_case_hellinger_distance","best_case_error"
"Beta_SSE408","fine_clean_low_dim_simulations","K",16,"IBMR_no_Gamma",17,3.48159797741021,NA,1,0.0160190271248478,0.0504134143380726,0.2517,3.44944531986685,0.0159989552134453,0.0504081659166205,0.2513
"Beta_SSE409","fine_clean_low_dim_simulations","K",16,"IBMR_no_Gamma",18,4.17875329768832,NA,1,0.0171293264738501,0.0508400889124404,0.2428,3.92156206006193,0.0169768231432821,0.0504985754444839,0.2421
"Beta_SSE410","fine_clean_low_dim_simulations","K",16,"IBMR_no_Gamma",19,3.28545460688809,NA,1,0.0175725595704747,0.0534897844915988,0.2718,3.18571354296139,0.0174835150728589,0.0533395280549328,0.2717
"Beta_SSE411","fine_clean_low_dim_simulations","K",16,"IBMR_no_Gamma",2,5.31393261281108,NA,1,0.0171642131366582,0.0502708016455891,0.2297,5.31393261281108,0.0171625742200179,0.0502708016455891,0.2297
"Beta_SSE412","fine_clean_low_dim_simulations","K",16,"IBMR_no_Gamma",20,3.86146936909916,NA,1,0.0143079426023113,0.0458283713389256,0.2365,3.8160877750714,0.0143079426023113,0.0458199311646238,0.2363
"Beta_SSE413","fine_clean_low_dim_simulations","K",16,"IBMR_no_Gamma",21,3.4919886132245,NA,1,0.0147759972362317,0.0472388905814347,0.2338,3.4919886132245,0.0147464232889906,0.0472007916227787,0.2336
"Beta_SSE414","fine_clean_low_dim_simulations","K",16,"IBMR_no_Gamma",22,5.14009094681364,NA,1,0.0167158342966705,0.0505345108828315,0.2449,4.41434314348305,0.0162358103712105,0.0497121898198993,0.2441
"Beta_SSE415","fine_clean_low_dim_simulations","K",16,"IBMR_no_Gamma",23,2.86056695532062,NA,1,0.0155663643489348,0.0498877712006305,0.2539,2.82526446722352,0.0155448727250945,0.0498799820837217,0.2533
"Beta_SSE416","fine_clean_low_dim_simulations","K",16,"IBMR_no_Gamma",24,2.96496884739452,NA,1,0.0179741433969655,0.0544467597577739,0.2667,2.90751502899843,0.0179331395236351,0.0544467597577739,0.2667
"Beta_SSE417","fine_clean_low_dim_simulations","K",16,"IBMR_no_Gamma",25,2.71402858537855,NA,1,0.0149867393202041,0.0487215006695916,0.2562,2.69849807141529,0.0149729752849724,0.0486847759526116,0.2544
"Beta_SSE418","fine_clean_low_dim_simulations","K",16,"IBMR_no_Gamma",26,3.73916613554591,NA,1,0.0167912175880845,0.0507969373991528,0.2354,3.73916613554591,0.0167912175880845,0.0507969373991528,0.2348
