"","run","experiment","value","method","replicate","Beta_SSE","Beta_FPR","Beta_TPR","KL_divergence","hellinger_distance","error","best_case_Beta_SSE","best_case_KL_divergence","best_case_hellinger_distance","best_case_error"
"Beta_SSE141","fine_clean_low_dim_simulations","K",1,"group_lasso",47,3.94733305224706,NA,1,0.0159880523041831,0.049742743197541,0.2483,3.93756539446977,0.0159880523041831,0.049742743197541,0.2478
"Beta_SSE52","fine_clean_low_dim_simulations","K",1,"elastic_net",48,2.96516660152497,NA,1,0.0143223208456793,0.0467371702197633,0.2488,2.96516660152497,0.0143223208456793,0.0467371702197633,0.2488
"Beta_SSE142","fine_clean_low_dim_simulations","K",1,"group_lasso",48,2.96516660152497,NA,1,0.0143223208456793,0.0467371702197633,0.2488,2.96516660152497,0.0143223208456793,0.0467371702197633,0.2488
"Beta_SSE53","fine_clean_low_dim_simulations","K",1,"elastic_net",49,3.95504079655229,NA,1,0.0162786015114543,0.0504359097610338,0.2584,3.95504079655229,0.0162720707153342,0.0504112763447403,0.2576
"Beta_SSE143","fine_clean_low_dim_simulations","K",1,"group_lasso",49,3.95504079655229,NA,1,0.0162786015114543,0.0504359097610338,0.2584,3.95504079655229,0.0162720707153342,0.0504112763447403,0.2576
"Beta_SSE54","fine_clean_low_dim_simulations","K",1,"elastic_net",5,3.49316448934655,NA,1,0.0162936535394959,0.0511807629793322,0.2546,3.49316448934655,0.0162936535394959,0.0511807629793322,0.254
"Beta_SSE144","fine_clean_low_dim_simulations","K",1,"group_lasso",5,3.49316448934655,NA,1,0.0162936535394959,0.0511807629793322,0.2546,3.49316448934655,0.0162936535394959,0.0511807629793322,0.254
"Beta_SSE55","fine_clean_low_dim_simulations","K",1,"elastic_net",50,3.4449407985786,NA,1,0.0154146382104398,0.0489746779569075,0.2531,3.4449407985786,0.0154146382104398,0.0489746779569075,0.2527
"Beta_SSE145","fine_clean_low_dim_simulations","K",1,"group_lasso",50,3.4449407985786,NA,1,0.0154146382104398,0.0489746779569075,0.2531,3.4449407985786,0.0154146382104398,0.0489746779569075,0.2527
"Beta_SSE56","fine_clean_low_dim_simulations","K",1,"elastic_net",6,3.8752629508018,NA,1,0.0174075490129633,0.0519846090218354,0.2533,3.5762251488996,0.0172444026660159,0.0517141685678536,0.2531
"Beta_SSE146","fine_clean_low_dim_simulations","K",1,"group_lasso",6,3.8752629508018,NA,1,0.0174075490129633,0.0519846090218354,0.2533,3.5762251488996,0.0172444026660159,0.0517141685678536,0.2531
"Beta_SSE57","fine_clean_low_dim_simulations","K",1,"elastic_net",7,2.9760797953305,NA,1,0.0178462274816377,0.0546935771408476,0.2773,2.96902852574787,0.0178295400830701,0.0546935771408476,0.2773
