"","run","experiment","value","method","replicate","Beta_SSE","Beta_FPR","Beta_TPR","KL_divergence","hellinger_distance","error","best_case_Beta_SSE","best_case_KL_divergence","best_case_hellinger_distance","best_case_error","oracle"
"Beta_SSE59","random_X_and_Beta","N",19200,"glmnet_subset",18,1948.80799993345,0.9625,1,2.59730019790439,0.446548679581698,0.3723,1023.08182430516,2.08496216609695,0.411037533977099,0.355,"observed"
"Beta_SSE60","random_X_and_Beta","N",19200,"glmnet_subset",19,1954.59326506807,0.9325,1,2.77750258078035,0.455589252361094,0.3782,1054.87918464225,2.19436142336612,0.417379207344133,0.3598,"observed"
"Beta_SSE61","random_X_and_Beta","N",19200,"glmnet_subset",2,2011.32694558767,0.9225,1,2.77367406534009,0.455427653551262,0.3756,1056.79539066115,2.15028669187178,0.41365460422667,0.3601,"observed"
"Beta_SSE62","random_X_and_Beta","N",19200,"glmnet_subset",20,1919.68303632393,0.9275,1,2.59667225920724,0.444535101388624,0.3688,1007.68949183696,2.06623489224071,0.405506126706725,0.3542,"observed"
"Beta_SSE63","random_X_and_Beta","N",19200,"glmnet_subset",21,1860.86731815012,0.94,1,2.61263216893421,0.446113379317542,0.3805,975.963016284489,2.09218437618715,0.408315014872095,0.3646,"observed"
"Beta_SSE64","random_X_and_Beta","N",19200,"glmnet_subset",22,1899.03729613858,0.9275,1,2.75320309439816,0.457734538841697,0.384,990.546825463579,2.23421739879085,0.423364044830576,0.3691,"observed"
"Beta_SSE65","random_X_and_Beta","N",19200,"glmnet_subset",23,1896.1375748582,0.945,1,2.66258533532659,0.453587963689036,0.3837,1009.2547886439,2.14987085848646,0.418849830409822,0.3556,"observed"
"Beta_SSE66","random_X_and_Beta","N",19200,"glmnet_subset",24,1850.39097451279,0.9575,1,2.60780618122282,0.448665120288117,0.3784,947.235334885525,2.19224716855489,0.418208799515692,0.3528,"observed"
"Beta_SSE67","random_X_and_Beta","N",19200,"glmnet_subset",25,1883.43667383001,0.9425,1,2.64521498238899,0.450294564726837,0.3859,1008.12442632104,2.21460049646445,0.41968987925561,0.3668,"observed"
"Beta_SSE68","random_X_and_Beta","N",19200,"glmnet_subset",26,1957.5538459092,0.9325,1,2.70232312413088,0.450329673551745,0.3752,1054.56767642156,2.15488593823826,0.412338546126352,0.3533,"observed"
"Beta_SSE69","random_X_and_Beta","N",19200,"glmnet_subset",27,1883.94611245614,0.9375,1,2.61176419973651,0.444752145033305,0.3685,958.592463319726,2.10891261937634,0.409056633569085,0.3524,"observed"
"Beta_SSE70","random_X_and_Beta","N",19200,"glmnet_subset",28,1849.83415388315,0.95,1,2.63268012991732,0.449263298749091,0.38,929.29831914738,2.14267008592775,0.413325342673709,0.3611,"observed"
"Beta_SSE71","random_X_and_Beta","N",19200,"glmnet_subset",29,2009.15874485332,0.9325,1,2.66243604893341,0.447464721314329,0.3714,1024.24421586916,2.17397414152063,0.413028848455329,0.3519,"observed"
"Beta_SSE72","random_X_and_Beta","N",19200,"glmnet_subset",3,1912.86481725567,0.92,1,2.72041975563991,0.452497644313133,0.3785,1031.96503824832,2.14229529674576,0.41335236214174,0.3647,"observed"
"Beta_SSE73","random_X_and_Beta","N",19200,"glmnet_subset",30,1982.5935979595,0.955,1,2.75490045010387,0.450225584258781,0.3757,1084.74806654274,2.24226230185989,0.414053815287799,0.3585,"observed"
"Beta_SSE74","random_X_and_Beta","N",19200,"glmnet_subset",31,1973.33374414748,0.9,1,2.76941760178076,0.455734261084006,0.3729,1066.60236744054,2.14588304500525,0.411490906678157,0.3632,"observed"
"Beta_SSE75","random_X_and_Beta","N",19200,"glmnet_subset",32,1917.32852283412,0.9325,1,2.82071076364007,0.460672242645594,0.386,1004.93127750253,2.25854776867581,0.423448195135059,0.3603,"observed"
"Beta_SSE76","random_X_and_Beta","N",19200,"glmnet_subset",33,1792.37121597152,0.965,1,2.52618343856563,0.444909941984884,0.3782,888.017720047827,2.07161174256646,0.411349167532073,0.3561,"observed"
"Beta_SSE77","random_X_and_Beta","N",19200,"glmnet_subset",34,1881.49783253797,0.9275,1,2.72321702053068,0.457678565059925,0.3835,979.435688834479,2.11680289269546,0.416232011786539,0.3687,"observed"
"Beta_SSE78","random_X_and_Beta","N",19200,"glmnet_subset",35,1903.40573000624,0.9375,1,2.61699927015167,0.447463135366919,0.3769,1063.93458420325,2.11608710388568,0.411737782354268,0.3568,"observed"
"Beta_SSE79","random_X_and_Beta","N",19200,"glmnet_subset",36,1877.75295264116,0.955,1,2.68008953747769,0.450896270489023,0.3769,955.758631101692,2.15668785917503,0.414468792668453,0.3555,"observed"
"Beta_SSE80","random_X_and_Beta","N",19200,"glmnet_subset",37,1951.87100594789,0.945,1,2.78913682637661,0.456234963740068,0.386,1016.5861107029,2.30459407774765,0.424202954371399,0.3689,"observed"
"Beta_SSE81","random_X_and_Beta","N",19200,"glmnet_subset",38,1891.53070049481,0.91,1,2.6862001689452,0.450216889802282,0.3719,1011.74497120167,2.08760427612554,0.405055695928988,0.3584,"observed"
"Beta_SSE82","random_X_and_Beta","N",19200,"glmnet_subset",39,1914.36418754915,0.955,1,2.61774835221247,0.447541555839638,0.3791,1003.02880471329,2.16632904867265,0.416228599034724,0.3539,"observed"
"Beta_SSE83","random_X_and_Beta","N",19200,"glmnet_subset",4,1900.05010660201,0.9475,1,2.67014841397378,0.449204313785785,0.3844,1041.55939381717,2.18163648319096,0.414946384545675,0.3613,"observed"
"Beta_SSE84","random_X_and_Beta","N",19200,"glmnet_subset",40,1894.36697294955,0.94,1,2.66020225413727,0.44973513650169,0.3733,980.632503097541,2.14064062172603,0.412951402622123,0.3584,"observed"
"Beta_SSE85","random_X_and_Beta","N",19200,"glmnet_subset",41,1935.35971260764,0.945,1,2.75834835284703,0.455182665370506,0.3888,1020.17928017579,2.30276516605931,0.426277069643634,0.3724,"observed"
